NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1617 Entries & Exits,1516 Entries & Exits,1617 Interchanges,Large station change flag,Small station change flag,Explanation of large change,Source for explanation of large change
5131,ABW,Abbey Wood,London,Bexley (London),Erith and Thamesmead,547374,179035,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,667244,728894,1592664,2988802,2929472,,,,,
7286,ACL,Acle,East,Broadland,Broadland,639900,310000,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,15032,22896,9786,47714,48660,,,,,
1404,ACC,Acton Central,London,Ealing (London),Ealing Central and Acton,520645,180295,London Overground,,,London Travelcard Area Station,E.01,Richmond - Willesden Jcn,Anglia,,537352,721522,672990,1931864,1891098,,,,,
3000,AML,Acton Main Line,London,Ealing (London),Ealing Central and Acton,520360,181230,Great Western Railway,,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,,69246,63286,106004,238536,262212,,,,,
5550,ASN,Addlestone,South East,Runnymede,Runnymede and Weybridge,505587,164866,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,142346,101100,185758,429204,423444,,,,,
5160,ADM,Adisham,South East,Canterbury,Canterbury,623391,153976,Southeastern,,,,A.12,East Kent Routes,South East,,5450,7496,8272,21218,21454,,,,,
5132,AYP,Albany Park,London,Bexley (London),Old Bexley and Sidcup,547855,172860,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,256520,221368,488838,966726,991150,,,,,
3145,AMT,Aldermaston,South East,West Berkshire,Wokingham,460100,167345,Great Western Railway,,,,J.05,Reading - Newbury,Western,,21276,33748,33964,88988,81968,,,,,
5623,AHT,Aldershot,South East,Rushmoor,Aldershot,486656,150424,South West Trains,,,,C.17,Brookwood - Alton,Wessex,,430796,542802,464016,1437614,1465212,138886.0185,,,,
5280,AGT,Aldrington,South East,The City of Brighton and Hove,Hove,527984,105666,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,41928,71066,72880,185874,236458,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
6025,AAP,Alexandra Palace,London,Haringey (London),Hornsey and Wood Green,530295,190460,Govia Thameslink Railway,,,London Travelcard Area Station,G.01,Kings Cross - Peterborough,London North East and East Midlands,,438068,604790,578806,1621664,1685542,55829.7005,,,,
6847,ALR,Alresford,East,Tendring,Harwich and North Essex,606525,221515,Greater Anglia,,,,D.16,Walton and Clacton Branches,Anglia,,12896,17222,39602,69720,68436,,,,,
6869,ALN,Althorne,East,Maldon,Maldon,590524,197929,Greater Anglia,,,,D.13,Shenfield - Southend / Southminster,Anglia,,8766,7510,28262,44538,41456,,,,,
5544,AON,Alton,South East,East Hampshire,East Hampshire,472352,139697,South West Trains,,,,C.17,Brookwood - Alton,Wessex,,166786,236656,312720,716162,753202,,,,,
5250,AMY,Amberley,South East,Horsham,Arundel and South Downs,502632,111812,Govia Thameslink Railway,,,,B.04,Three Bridges - Arundel Jcn,South East,,9800,24484,16312,50596,57828,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
506,AMR,Amersham,South East,Chiltern,Chesham and Amersham,496379,198188,London Underground,,,,M.03,Amersham - Aylesbury Vale,London North Western,,845034,902306,211526,1958866,1944310,,,,,
5510,ADV,Andover,South East,Test Valley,North West Hampshire,435565,145938,South West Trains,,,,C.14,Basingstoke - Salisbury,Wessex,,237432,509654,478816,1225902,1205858,1121.4493,,,,
5397,ANZ,Anerley,London,Bromley (London),Lewisham West and Penge,534605,169900,London Overground,,,London Travelcard Area Station,B.03,London Bridge - Windmill Bridge Jcn,South East,,258736,386864,327412,973012,887484,,,,,
6909,AGR,Angel Road,London,Enfield (London),Edmonton,535200,192200,Greater Anglia,,,London Travelcard Area Station,D.01,Bethnal Green - Stansted Airport,Anglia,,13300,6448,13796,33544,27754,,1,,,
5267,ANG,Angmering,South East,Arun,Arundel and South Downs,506513,102979,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,117728,340190,242060,699978,865380,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5003,APD,Appledore,South East,Ashford,Ashford,597566,129760,Govia Thameslink Railway,,,,A.13,Hastings - Ashford,South East,,5032,11702,19152,35886,39190,,,,,
3109,APF,Appleford,South East,Vale of White Horse,Wantage,452542,193698,Great Western Railway,,,,J.07,Didcot - Oxford,Western,,1668,3174,1584,6426,7752,,,,,
1430,APS,Apsley,East,Dacorum,Hemel Hempstead,506245,204874,London Midland Trains,,,,N.01,Euston - Rugby,London North Western,,171344,178224,284916,634484,576422,,1,,,
6171,ARL,Arlesey,East,Central Bedfordshire,North East Bedfordshire,519045,237820,Govia Thameslink Railway,,,,G.01,Kings Cross - Peterborough,London North East and East Midlands,,176176,228308,289064,693548,667602,,,,,
5251,ARU,Arundel,South East,Arun,Arundel and South Downs,502444,106417,Govia Thameslink Railway,,,,B.04,Three Bridges - Arundel Jcn,South East,,33348,136954,102380,272682,311906,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5666,ACT,Ascot,South East,Windsor and Maidenhead,Windsor,492200,168300,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,431402,576392,239284,1247078,1255918,308004.6472,,,,
3003,AUW,Ascott-Under-Wychwood,South East,West Oxfordshire,Witney,430114,218841,Great Western Railway,,,,J.11,Cotswolds Line,Western,,2884,228,1532,4644,4532,,,,,
5641,ASH,Ash,South East,Guildford,Surrey Heath,489934,150834,South West Trains,,,,C.09,Guildford - Wokingham,Wessex,,75446,87152,116646,279244,288430,33872.9547,,,,
5547,AHV,Ash Vale,South East,Guildford,Surrey Heath,489273,153342,South West Trains,,,,C.17,Brookwood - Alton,Wessex,,120100,126776,233978,480854,488636,122402.2578,,,,
5667,AFS,Ashford (Middlesex),South East,Spelthorne,Spelthorne,506580,171947,South West Trains,,,,C.12,Inner Windsor Lines,Wessex,,269650,257518,530172,1057340,1066986,,,,,
5004,AFK,Ashford International,South East,Ashford,Ashford,601282,142204,Southeastern,,,,A.14,Tonbridge - Continental Jcn,South East,,584002,1540948,1673536,3798486,3764590,818551.6482,,,,
5347,AHD,Ashtead,South East,Mole Valley,Epsom and Ewell,518040,159000,Govia Thameslink Railway,,,,B.08,South Central Sutton Lines,South East,,322744,354580,639960,1317284,1329660,,,,,
5398,AHS,Ashurst,South East,Tunbridge Wells,Tunbridge Wells,550726,138801,Govia Thameslink Railway,,,,B.10,Hurst Green - Uckfield,South East,,4738,7228,10662,22628,26508,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5906,ANF,Ashurst New Forest,South East,New Forest,New Forest East,433392,110147,South West Trains,,,,C.04,Southampton - Weymouth,Wessex,,32092,44730,54770,131592,129164,,,,,
6083,AWM,Ashwell & Morden,East,South Cambridgeshire,South Cambridgeshire,529770,238615,Govia Thameslink Railway,,,,G.04,Hitchin - Cambridge,London North East and East Midlands,,30808,23630,95946,150384,144158,,,,,
1380,APG,Aspley Guise,East,Central Bedfordshire,Mid Bedfordshire,493944,236751,London Midland Trains,,,,N.12,Bletchley - Bedford,London North Western,,2198,3764,3492,9454,9564,,,,,
